ocid,releases/0/id,releases/0/awards/0/id,releases/0/awards/0/status,releases/0/awards/0/date,releases/0/awards/0/value/amount,releases/0/awards/0/value/currency,releases/0/awards/0/relatedLots
ocds-hu01ve-7902238,ocds-hu01ve-7902238-01,1867118,active,2020-10-07T12:00:00Z,50319.5,EUR,8463348FB2
ocds-hu01ve-8050294,ocds-hu01ve-8050294-01,2086515,active,2020-10-23T12:00:00Z,1068771.6,EUR,8632514FE5
ocds-hu01ve-7878123,ocds-hu01ve-7878123-01,1819501,active,2020-10-02T12:00:00Z,857770.49,EUR,843491580D
ocds-hu01ve-7937082,ocds-hu01ve-7937082-01,2075676,active,2020-11-12T12:00:00Z,100736.4,EUR,8504427B2A
ocds-hu01ve-7907252,ocds-hu01ve-7907252-01,1808853,active,2020-10-22T12:00:00Z,159359.12,EUR,8469227337
ocds-hu01ve-7896977,ocds-hu01ve-7896977-01,1916969,active,2020-10-29T12:00:00Z,71900.82,EUR,8456982A50
ocds-hu01ve-7924259,ocds-hu01ve-7924259-01,1984816,active,2020-10-27T12:00:00Z,190000,EUR,8489245A95
ocds-hu01ve-7916335,ocds-hu01ve-7916335-01,1839006,active,2020-10-20T12:00:00Z,3628066.59,EUR,84796360FF
ocds-hu01ve-7926717,ocds-hu01ve-7926717-01,1838895,active,2020-11-13T12:00:00Z,44480,EUR,8492058BF1
ocds-hu01ve-7915762,ocds-hu01ve-7915762-01,1928739,active,2020-10-19T12:00:00Z,47800,EUR,8479023720
ocds-hu01ve-7897917,ocds-hu01ve-7897917-01,1821085,active,2020-10-27T12:00:00Z,60057.63,EUR,8458051C7A
ocds-hu01ve-7909208,ocds-hu01ve-7909208-01,1838855,active,2020-10-09T12:00:00Z,159005,EUR,84712719F8
ocds-hu01ve-7916987,ocds-hu01ve-7916987-01,2004656,active,2020-11-19T12:00:00Z,55600,EUR,848043110D
ocds-hu01ve-7905492,ocds-hu01ve-7905492-01,1907253,active,2020-12-17T12:00:00Z,941500,EUR,846701951D
ocds-hu01ve-7905492,ocds-hu01ve-7905492-01,1907341,active,2020-12-17T12:00:00Z,243124,EUR,8467163BF0
ocds-hu01ve-7905492,ocds-hu01ve-7905492-01,1907339,active,2020-12-17T12:00:00Z,41650,EUR,8467103A6D
ocds-hu01ve-7905492,ocds-hu01ve-7905492-01,1907343,active,2020-12-17T12:00:00Z,36065,EUR,8467179925
ocds-hu01ve-7950244,ocds-hu01ve-7950244-01,1962302,active,2020-11-01T12:00:00Z,94642.16,EUR,8520173D2C
ocds-hu01ve-7908090,ocds-hu01ve-7908090-01,1842284,active,2020-12-11T12:00:00Z,41760,EUR,847012369D
ocds-hu01ve-7926962,ocds-hu01ve-7926962-01,1857305,active,2020-11-19T12:00:00Z,73781,EUR,8492318283
ocds-hu01ve-7904982,ocds-hu01ve-7904982-01,2043846,active,2020-10-21T12:00:00Z,50000,EUR,846649872B
ocds-hu01ve-7915092,ocds-hu01ve-7915092-01,1819496,active,2020-11-13T12:00:00Z,14016.2,EUR,847818104B
ocds-hu01ve-7909703,ocds-hu01ve-7909703-01,1817502,active,2020-10-16T12:00:00Z,41800.39,EUR,8471855BE6
ocds-hu01ve-7910181,ocds-hu01ve-7910181-01,1995110,active,2020-12-16T12:00:00Z,19279,EUR,8472472911
ocds-hu01ve-7910181,ocds-hu01ve-7910181-01,1995125,active,2020-12-16T12:00:00Z,6605.5,EUR,8472528748
ocds-hu01ve-7922361,ocds-hu01ve-7922361-01,1921221,active,2020-12-03T12:00:00Z,45608.02,EUR,84870929DF
ocds-hu01ve-7906848,ocds-hu01ve-7906848-01,1816463,active,2020-10-29T12:00:00Z,72402,EUR,84687655F5
ocds-hu01ve-7926690,ocds-hu01ve-7926690-01,1819595,active,2020-11-12T12:00:00Z,34940,EUR,849204620D
ocds-hu01ve-7896919,ocds-hu01ve-7896919-01,1811760,active,2020-10-30T12:00:00Z,538966.4,EUR,8456948E40
ocds-hu01ve-8294848,ocds-hu01ve-8294848-01,2009452,active,2020-10-01T12:00:00Z,166160,EUR,8915063EB5
ocds-hu01ve-7925558,ocds-hu01ve-7925558-01,2075716,active,2020-11-10T12:00:00Z,268775.75,EUR,8490742DF1
ocds-hu01ve-7915685,ocds-hu01ve-7915685-01,2037594,active,2021-06-09T12:00:00Z,205245.05,EUR,8478933CD9
ocds-hu01ve-7902978,ocds-hu01ve-7902978-01,1860663,active,2020-12-23T12:00:00Z,548363.96,EUR,84644458FA
ocds-hu01ve-7919981,ocds-hu01ve-7919981-01,1930850,active,2020-10-26T12:00:00Z,215211,EUR,84841058EC
ocds-hu01ve-7922881,ocds-hu01ve-7922881-01,1821492,active,2020-10-09T12:00:00Z,51728,EUR,8487656B4C
ocds-hu01ve-7923190,ocds-hu01ve-7923190-01,1852811,active,2020-10-27T12:00:00Z,600400,EUR,8487971F3D
ocds-hu01ve-7889576,ocds-hu01ve-7889576-01,1852229,active,2020-12-29T12:00:00Z,194453.32,EUR,8448698625
ocds-hu01ve-8147863,ocds-hu01ve-8147863-01,1926890,active,2020-10-14T12:00:00Z,3260000,EUR,8749582F77
ocds-hu01ve-7914411,ocds-hu01ve-7914411-01,1844378,active,2020-10-16T12:00:00Z,80000,EUR,8477111D49
ocds-hu01ve-7905951,ocds-hu01ve-7905951-01,1811848,active,2020-10-09T12:00:00Z,48748,EUR,8467526780
ocds-hu01ve-7921165,ocds-hu01ve-7921165-01,1898659,active,2020-12-02T12:00:00Z,1380032.75,EUR,848570514B
ocds-hu01ve-7925227,ocds-hu01ve-7925227-01,1893149,active,2020-12-01T12:00:00Z,70018,EUR,8490718A24
ocds-hu01ve-7920438,ocds-hu01ve-7920438-01,1837601,active,2020-11-06T12:00:00Z,61000,EUR,8484865C17
ocds-hu01ve-7919803,ocds-hu01ve-7919803-01,2075922,active,2020-10-22T12:00:00Z,58257.68,EUR,8483859DE9
ocds-hu01ve-7919812,ocds-hu01ve-7919812-01,1939604,active,2021-02-15T12:00:00Z,97868.66,EUR,84839286DC
ocds-hu01ve-7901059,ocds-hu01ve-7901059-01,1867292,active,2020-12-21T12:00:00Z,57476.73,EUR,846193627E
ocds-hu01ve-7961710,ocds-hu01ve-7961710-01,1870274,active,2020-11-25T12:00:00Z,550916.1,EUR,8532530281
ocds-hu01ve-7915925,ocds-hu01ve-7915925-01,2089942,active,2020-10-02T12:00:00Z,70000,EUR,8479290377
ocds-hu01ve-7920839,ocds-hu01ve-7920839-01,1817152,active,2020-11-11T12:00:00Z,119437.63,EUR,848537729E
ocds-hu01ve-7942570,ocds-hu01ve-7942570-01,1870606,active,2020-11-12T12:00:00Z,242352,EUR,8510795237
ocds-hu01ve-7893407,ocds-hu01ve-7893407-01,1864807,active,2020-10-01T12:00:00Z,1099464,EUR,8452931B52
ocds-hu01ve-7903690,ocds-hu01ve-7903690-01,1893203,active,2021-02-26T12:00:00Z,1066751,EUR,846503932B
ocds-hu01ve-7903690,ocds-hu01ve-7903690-01,1893283,active,2021-02-26T12:00:00Z,367647.05,EUR,84650414D1
ocds-hu01ve-7903690,ocds-hu01ve-7903690-01,1893290,active,2021-02-26T12:00:00Z,280845.54,EUR,8465043677
ocds-hu01ve-7903690,ocds-hu01ve-7903690-01,1893210,active,2021-02-26T12:00:00Z,984380.86,EUR,8465033E34
ocds-hu01ve-7912963,ocds-hu01ve-7912963-01,1803664,active,2020-10-19T12:00:00Z,78746.85,EUR,847547680C
ocds-hu01ve-7910222,ocds-hu01ve-7910222-01,1799321,active,2020-10-14T12:00:00Z,56000,EUR,84724349B5
ocds-hu01ve-7909871,ocds-hu01ve-7909871-01,1864389,active,2020-10-18T12:00:00Z,60000,EUR,84720626BA
ocds-hu01ve-7898408,ocds-hu01ve-7898408-01,1984972,active,2021-07-13T12:00:00Z,91346.88,EUR,845856764D
ocds-hu01ve-7907836,ocds-hu01ve-7907836-01,2062233,active,2020-10-12T12:00:00Z,133700,EUR,84699507D9
ocds-hu01ve-7907836,ocds-hu01ve-7907836-01,2062323,active,2020-10-12T12:00:00Z,43618.82,EUR,84700423C6
ocds-hu01ve-7907836,ocds-hu01ve-7907836-01,2062276,active,2020-10-12T12:00:00Z,16600.16,EUR,8469982243
ocds-hu01ve-7917119,ocds-hu01ve-7917119-01,1855168,active,2020-12-21T12:00:00Z,136263.5,EUR,84805703C1
ocds-hu01ve-7898915,ocds-hu01ve-7898915-01,1804075,active,2020-10-05T12:00:00Z,47588.77,EUR,84592054CC
ocds-hu01ve-7910061,ocds-hu01ve-7910061-01,1803821,active,2020-10-14T12:00:00Z,432600,EUR,847226918E
ocds-hu01ve-7892676,ocds-hu01ve-7892676-01,1930567,active,2020-11-10T12:00:00Z,30235.24,EUR,8452131725
ocds-hu01ve-8059153,ocds-hu01ve-8059153-01,1898427,active,2021-02-25T12:00:00Z,72000,EUR,8641580967
ocds-hu01ve-7918315,ocds-hu01ve-7918315-01,2053279,active,2020-11-03T12:00:00Z,45500,EUR,848206771D
ocds-hu01ve-7998075,ocds-hu01ve-7998075-01,1869315,active,2020-12-29T12:00:00Z,511624,EUR,85722268AC
ocds-hu01ve-7892171,ocds-hu01ve-7892171-01,1928949,active,2021-04-19T12:00:00Z,423000.1,EUR,845158870C
ocds-hu01ve-7902188,ocds-hu01ve-7902188-01,2035944,active,2020-12-18T12:00:00Z,335195,EUR,84633376A1
ocds-hu01ve-7914553,ocds-hu01ve-7914553-01,1806044,active,2020-10-23T12:00:00Z,102771,EUR,8477326EB5
ocds-hu01ve-7904060,ocds-hu01ve-7904060-01,1928804,active,2020-10-15T12:00:00Z,125000,EUR,84654126F9
ocds-hu01ve-7903207,ocds-hu01ve-7903207-01,1914175,active,2020-10-07T12:00:00Z,2055000,EUR,8464470D9A
ocds-hu01ve-7790837,ocds-hu01ve-7790837-01,1814763,active,2020-10-23T12:00:00Z,128571.17,EUR,8332609E76
ocds-hu01ve-7817939,ocds-hu01ve-7817939-01,1893041,active,2021-01-21T12:00:00Z,195000,EUR,83663366DF
ocds-hu01ve-7909529,ocds-hu01ve-7909529-01,1842944,active,2020-10-20T12:00:00Z,97500,EUR,8475500BD9
ocds-hu01ve-7904700,ocds-hu01ve-7904700-01,2029961,active,2020-10-16T12:00:00Z,281000,EUR,8466143238
ocds-hu01ve-7958978,ocds-hu01ve-7958978-01,1825559,active,2020-11-24T12:00:00Z,25000,EUR,85294450AF
ocds-hu01ve-7904106,ocds-hu01ve-7904106-01,1940625,active,2020-10-26T12:00:00Z,3444676.01,EUR,84654641E4
ocds-hu01ve-7900535,ocds-hu01ve-7900535-01,1859144,active,2020-10-12T12:00:00Z,58000,EUR,8461367CED
ocds-hu01ve-7903774,ocds-hu01ve-7903774-01,2071255,active,2020-10-06T12:00:00Z,81715,EUR,8465117389
ocds-hu01ve-7906535,ocds-hu01ve-7906535-01,1975316,active,2020-10-14T12:00:00Z,51693,EUR,8468408F57
ocds-hu01ve-7952562,ocds-hu01ve-7952562-01,1839978,active,2020-12-15T12:00:00Z,986351,EUR,85225273C4
ocds-hu01ve-7918960,ocds-hu01ve-7918960-01,1818124,active,2020-11-02T12:00:00Z,49690,EUR,8482847AC9
ocds-hu01ve-7927243,ocds-hu01ve-7927243-01,1860447,active,2020-11-27T12:00:00Z,197573.65,EUR,8492639B66
ocds-hu01ve-7879545,ocds-hu01ve-7879545-01,1839704,active,2020-12-17T12:00:00Z,120502.94,EUR,84365426B2
ocds-hu01ve-7910128,ocds-hu01ve-7910128-01,1907945,active,2020-10-13T12:00:00Z,87360,EUR,8472340C22
ocds-hu01ve-7926460,ocds-hu01ve-7926460-01,1878067,active,2020-11-12T12:00:00Z,75000,EUR,8491754116
ocds-hu01ve-7907840,ocds-hu01ve-7907840-01,1862739,active,2020-10-01T12:00:00Z,850000,EUR,846987277B
ocds-hu01ve-7916051,ocds-hu01ve-7916051-01,1855753,active,2020-12-09T12:00:00Z,38877.8,EUR,8479341D8A
ocds-hu01ve-7927904,ocds-hu01ve-7927904-01,1991859,active,2021-08-03T12:00:00Z,76588.16,EUR,849339399F
ocds-hu01ve-7899829,ocds-hu01ve-7899829-01,1807612,active,2020-10-26T12:00:00Z,99600,EUR,8460485516
ocds-hu01ve-7915828,ocds-hu01ve-7915828-01,1901836,active,2021-03-25T12:00:00Z,230146.16,EUR,8479092013
ocds-hu01ve-7888153,ocds-hu01ve-7888153-01,1849071,active,2020-12-23T12:00:00Z,59000,EUR,8446807DA2
ocds-hu01ve-7924464,ocds-hu01ve-7924464-01,1898851,active,2021-01-29T12:00:00Z,1168721.85,EUR,8489458A5B
ocds-hu01ve-7911912,ocds-hu01ve-7911912-01,1816253,active,2020-11-10T12:00:00Z,14924.6,EUR,847440001D
ocds-hu01ve-7921746,ocds-hu01ve-7921746-01,1865174,active,2020-10-23T12:00:00Z,16244,EUR,8486373889
ocds-hu01ve-7915981,ocds-hu01ve-7915981-01,1952025,active,2020-12-01T12:00:00Z,74639.24,EUR,8479266FA5
ocds-hu01ve-7915981,ocds-hu01ve-7915981-01,1849292,active,2020-11-20T12:00:00Z,13689.2,EUR,84792713C9
ocds-hu01ve-7895610,ocds-hu01ve-7895610-01,1811967,active,2020-09-07T12:00:00Z,145000,EUR,84553729B3
ocds-hu01ve-7912070,ocds-hu01ve-7912070-01,1851926,active,2020-10-30T12:00:00Z,28681.75,EUR,8474515EFF
ocds-hu01ve-7941743,ocds-hu01ve-7941743-01,1816347,active,2020-11-10T12:00:00Z,50000,EUR,8509846313
ocds-hu01ve-7937495,ocds-hu01ve-7937495-01,1817311,active,2020-11-10T12:00:00Z,34980.25,EUR,8504854B89
ocds-hu01ve-7919381,ocds-hu01ve-7919381-01,1923601,active,2021-03-31T12:00:00Z,974998,EUR,84833054BF
ocds-hu01ve-7896411,ocds-hu01ve-7896411-01,1925606,active,2020-10-12T12:00:00Z,47290.74,EUR,8456342A2B
ocds-hu01ve-7915004,ocds-hu01ve-7915004-01,1938234,active,2020-10-19T12:00:00Z,52707.6,EUR,8477963C61
ocds-hu01ve-7935238,ocds-hu01ve-7935238-01,1813413,active,2020-10-07T12:00:00Z,9875,EUR,8502338F43
ocds-hu01ve-7911173,ocds-hu01ve-7911173-01,2083406,active,2020-11-05T12:00:00Z,20610,EUR,8473525E06
ocds-hu01ve-7905737,ocds-hu01ve-7905737-01,1908311,active,2020-11-11T12:00:00Z,696595.88,EUR,846746010B
ocds-hu01ve-7905737,ocds-hu01ve-7905737-01,1908369,active,2020-11-11T12:00:00Z,966063.01,EUR,84675424B5
ocds-hu01ve-7905737,ocds-hu01ve-7905737-01,1908313,active,2020-11-11T12:00:00Z,926703,EUR,8467483405
ocds-hu01ve-7905737,ocds-hu01ve-7905737-01,1908312,active,2020-11-11T12:00:00Z,261976.39,EUR,8467470949
ocds-hu01ve-7905737,ocds-hu01ve-7905737-01,1908309,active,2020-11-11T12:00:00Z,162216,EUR,84674443D6
ocds-hu01ve-7905737,ocds-hu01ve-7905737-01,1908373,active,2020-11-11T12:00:00Z,113447.79,EUR,8467571CA1
ocds-hu01ve-7905737,ocds-hu01ve-7905737-01,1908367,active,2020-11-11T12:00:00Z,494318.25,EUR,8467522434
ocds-hu01ve-7905737,ocds-hu01ve-7905737-01,1908315,active,2020-11-11T12:00:00Z,4937328,EUR,8467494D16
ocds-hu01ve-7905737,ocds-hu01ve-7905737-01,1908368,active,2020-11-11T12:00:00Z,24276000,EUR,8467532C72
ocds-hu01ve-7905737,ocds-hu01ve-7905737-01,1908370,active,2020-11-11T12:00:00Z,2218159.22,EUR,84675489A7
ocds-hu01ve-7905737,ocds-hu01ve-7905737-01,1908308,active,2020-11-11T12:00:00Z,527472,EUR,8467429774
ocds-hu01ve-7905737,ocds-hu01ve-7905737-01,1908374,active,2020-11-11T12:00:00Z,25935762.98,EUR,8467879ACD
ocds-hu01ve-7905737,ocds-hu01ve-7905737-01,1908317,active,2020-11-11T12:00:00Z,3002572.8,EUR,846750562C
ocds-hu01ve-7905737,ocds-hu01ve-7905737-01,1908375,active,2020-11-11T12:00:00Z,212287.5,EUR,8467889310
ocds-hu01ve-7905737,ocds-hu01ve-7905737-01,1908323,active,2020-11-11T12:00:00Z,11765464.2,EUR,8467510A4B
ocds-hu01ve-7911569,ocds-hu01ve-7911569-01,1984377,active,2020-10-19T12:00:00Z,68589.61,EUR,8473951D92
ocds-hu01ve-7884538,ocds-hu01ve-7884538-01,1814617,active,2020-10-01T12:00:00Z,100000,EUR,8442578BC1
ocds-hu01ve-7913355,ocds-hu01ve-7913355-01,1911137,active,2020-10-23T12:00:00Z,45670,EUR,847590386B
ocds-hu01ve-7920168,ocds-hu01ve-7920168-01,1891308,active,2020-10-28T12:00:00Z,123000,EUR,84844483FB
ocds-hu01ve-7907701,ocds-hu01ve-7907701-01,1838404,active,2020-12-01T12:00:00Z,279998.2,EUR,846972917B
ocds-hu01ve-7908608,ocds-hu01ve-7908608-01,2134066,active,2020-10-21T12:00:00Z,31747.09,EUR,8470713D7D
ocds-hu01ve-7900256,ocds-hu01ve-7900256-01,1819537,active,2020-10-12T12:00:00Z,58050,EUR,84609493FE
ocds-hu01ve-7954325,ocds-hu01ve-7954325-01,2095242,active,2020-10-20T12:00:00Z,669367.66,EUR,8524479E98
ocds-hu01ve-7886511,ocds-hu01ve-7886511-01,1903737,active,2020-12-16T12:00:00Z,32410.5,EUR,8444983C6C
ocds-hu01ve-7882371,ocds-hu01ve-7882371-01,1950537,active,2020-12-03T12:00:00Z,69154.8,EUR,843981647D
ocds-hu01ve-7893183,ocds-hu01ve-7893183-01,1976903,active,2020-11-12T12:00:00Z,420000,EUR,84527906F8
ocds-hu01ve-7900091,ocds-hu01ve-7900091-01,2066535,active,2020-12-02T12:00:00Z,238238,EUR,8460740784
ocds-hu01ve-7907919,ocds-hu01ve-7907919-01,2041836,active,2020-10-06T12:00:00Z,74500,EUR,846996650E
ocds-hu01ve-7902177,ocds-hu01ve-7902177-01,1833646,active,2020-10-20T12:00:00Z,81890,EUR,84632910AD
ocds-hu01ve-7973774,ocds-hu01ve-7973774-01,1892548,active,2020-12-17T12:00:00Z,70240.83,EUR,854550991B
ocds-hu01ve-8292860,ocds-hu01ve-8292860-01,2124862,active,2021-09-28T12:00:00Z,116021.01,EUR,89127791E8
ocds-hu01ve-7906184,ocds-hu01ve-7906184-01,1796847,active,2020-10-11T12:00:00Z,600000,EUR,84678979A8
ocds-hu01ve-7887926,ocds-hu01ve-7887926-01,1898286,active,2020-11-12T12:00:00Z,638793,EUR,8446556E80
ocds-hu01ve-7918023,ocds-hu01ve-7918023-01,1803754,active,2020-10-01T12:00:00Z,74500,EUR,8481703ABA
ocds-hu01ve-7936710,ocds-hu01ve-7936710-01,1814126,active,2020-10-01T12:00:00Z,99960,EUR,85040189A6
ocds-hu01ve-7914304,ocds-hu01ve-7914304-01,1878389,active,2020-12-15T12:00:00Z,63100,EUR,84770001B3
ocds-hu01ve-7910693,ocds-hu01ve-7910693-01,1877295,active,2021-02-04T12:00:00Z,120000,EUR,8472929234
ocds-hu01ve-7904304,ocds-hu01ve-7904304-01,1797116,active,2020-10-08T12:00:00Z,213740,EUR,84656646EE
ocds-hu01ve-7899056,ocds-hu01ve-7899056-01,2052344,active,2021-06-10T12:00:00Z,110907.68,EUR,84593604B5
ocds-hu01ve-7902535,ocds-hu01ve-7902535-01,1922258,active,2020-10-16T12:00:00Z,66257.27,EUR,8463829CA2
ocds-hu01ve-7908078,ocds-hu01ve-7908078-01,1835005,active,2020-11-27T12:00:00Z,65361.5,EUR,84702016FB
ocds-hu01ve-7917929,ocds-hu01ve-7917929-01,1908730,active,2020-10-21T12:00:00Z,31350,EUR,8481607B81
ocds-hu01ve-7862191,ocds-hu01ve-7862191-01,1853886,active,2020-11-11T12:00:00Z,149936.37,EUR,8417487A02
ocds-hu01ve-7881601,ocds-hu01ve-7881601-01,1992041,active,2020-12-14T12:00:00Z,101113.75,EUR,8438930955
ocds-hu01ve-7880831,ocds-hu01ve-7880831-01,1919334,active,2020-12-01T12:00:00Z,153377.8,EUR,8438032449
ocds-hu01ve-7891383,ocds-hu01ve-7891383-01,1963029,active,2020-10-14T12:00:00Z,292500,EUR,845069561F
ocds-hu01ve-7891383,ocds-hu01ve-7891383-01,1962869,active,2020-10-14T12:00:00Z,405000,EUR,8450693479
ocds-hu01ve-7903231,ocds-hu01ve-7903231-01,1849359,active,2020-10-22T12:00:00Z,176640.84,EUR,8464522885
ocds-hu01ve-7911276,ocds-hu01ve-7911276-01,1813577,active,2020-10-27T12:00:00Z,162868,EUR,8473632655
ocds-hu01ve-7913833,ocds-hu01ve-7913833-01,1898498,active,2020-11-22T12:00:00Z,65000,EUR,8482053B8E
ocds-hu01ve-7928998,ocds-hu01ve-7928998-01,1813559,active,2020-11-02T12:00:00Z,334104,EUR,84946853D2
ocds-hu01ve-7906697,ocds-hu01ve-7906697-01,1816478,active,2020-10-29T12:00:00Z,174872.16,EUR,8468580D48
ocds-hu01ve-7928330,ocds-hu01ve-7928330-01,2052954,active,2020-12-09T12:00:00Z,105000,EUR,8493875762
ocds-hu01ve-7897702,ocds-hu01ve-7897702-01,1884476,active,2020-10-01T12:00:00Z,41993,EUR,8457823057
ocds-hu01ve-7905267,ocds-hu01ve-7905267-01,1808823,active,2020-10-26T12:00:00Z,38456,EUR,846678325D
ocds-hu01ve-7831895,ocds-hu01ve-7831895-01,1879375,active,2020-11-30T12:00:00Z,80070.6,EUR,8382097543
ocds-hu01ve-7900532,ocds-hu01ve-7900532-01,1962185,active,2021-04-08T12:00:00Z,1187262.5,EUR,8461384AF5
ocds-hu01ve-7927134,ocds-hu01ve-7927134-01,1828575,active,2020-11-26T12:00:00Z,83765.5,EUR,84925165E7
ocds-hu01ve-7913610,ocds-hu01ve-7913610-01,1812827,active,2020-10-27T12:00:00Z,51399.07,EUR,84761926E9
ocds-hu01ve-7894855,ocds-hu01ve-7894855-01,1956676,active,2020-10-08T12:00:00Z,49568.4,EUR,8454566094
ocds-hu01ve-7969636,ocds-hu01ve-7969636-01,1967201,active,2020-12-04T12:00:00Z,289538,EUR,85409040F3
ocds-hu01ve-7908818,ocds-hu01ve-7908818-01,1838161,active,2020-10-09T12:00:00Z,58170,EUR,8470909F3B
ocds-hu01ve-7884190,ocds-hu01ve-7884190-01,1870992,active,2020-11-02T12:00:00Z,425568.4,EUR,8442391173
ocds-hu01ve-7919065,ocds-hu01ve-7919065-01,1811253,active,2020-10-26T12:00:00Z,36922.77,EUR,8482918562
ocds-hu01ve-7916089,ocds-hu01ve-7916089-01,1824165,active,2020-10-30T12:00:00Z,122611.33,EUR,8479393875
ocds-hu01ve-7921525,ocds-hu01ve-7921525-01,1890409,active,2020-11-25T12:00:00Z,89940.01,EUR,84860730FA
ocds-hu01ve-7904793,ocds-hu01ve-7904793-01,1885713,active,2020-10-27T12:00:00Z,401259.1,EUR,8466241317
ocds-hu01ve-7923298,ocds-hu01ve-7923298-01,1878537,active,2021-02-18T12:00:00Z,553200,EUR,84881291A4
ocds-hu01ve-7900988,ocds-hu01ve-7900988-01,2088934,active,2020-10-16T12:00:00Z,679600,EUR,8461852D29
ocds-hu01ve-7903259,ocds-hu01ve-7903259-01,1816965,active,2020-10-27T12:00:00Z,216000,EUR,8464528D77
ocds-hu01ve-7916154,ocds-hu01ve-7916154-01,1879425,active,2020-10-27T12:00:00Z,195378.56,EUR,8479460FBD
ocds-hu01ve-7919757,ocds-hu01ve-7919757-01,1840717,active,2020-12-15T12:00:00Z,200430,EUR,8483838C95
ocds-hu01ve-7909370,ocds-hu01ve-7909370-01,1843829,active,2020-11-13T12:00:00Z,319211.25,EUR,84714784CC
ocds-hu01ve-7923355,ocds-hu01ve-7923355-01,1807672,active,2020-10-26T12:00:00Z,15841.09,EUR,84882250DD
ocds-hu01ve-7890608,ocds-hu01ve-7890608-01,1823163,active,2020-11-06T12:00:00Z,57071.83,EUR,84495640CC
ocds-hu01ve-7932405,ocds-hu01ve-7932405-01,1815229,active,2020-11-05T12:00:00Z,60480,EUR,8498423085
ocds-hu01ve-7917872,ocds-hu01ve-7917872-01,2058843,active,2020-11-03T12:00:00Z,128137,EUR,848160168F
ocds-hu01ve-7902442,ocds-hu01ve-7902442-01,1848061,active,2020-10-14T12:00:00Z,73799.61,EUR,846367800A
ocds-hu01ve-7894118,ocds-hu01ve-7894118-01,1890693,active,2020-10-01T12:00:00Z,272522,EUR,84537005ED
ocds-hu01ve-7948520,ocds-hu01ve-7948520-01,1879120,active,2020-11-30T12:00:00Z,154234.5,EUR,8518022E1C
ocds-hu01ve-7925878,ocds-hu01ve-7925878-01,1839555,active,2020-11-25T12:00:00Z,134400,EUR,849107833B
ocds-hu01ve-7925878,ocds-hu01ve-7925878-01,1839551,active,2020-11-27T12:00:00Z,134400,EUR,8491102708
ocds-hu01ve-7925878,ocds-hu01ve-7925878-01,1839549,active,2020-11-26T12:00:00Z,134400,EUR,8491089C4C
ocds-hu01ve-7905673,ocds-hu01ve-7905673-01,1876086,active,2020-10-19T12:00:00Z,70000,EUR,8467220AFA
ocds-hu01ve-7889417,ocds-hu01ve-7889417-01,1857620,active,2020-10-16T12:00:00Z,258000,EUR,8448256964
ocds-hu01ve-7915904,ocds-hu01ve-7915904-01,1899870,active,2020-10-27T12:00:00Z,85310.9,EUR,847923346D
ocds-hu01ve-7916152,ocds-hu01ve-7916152-01,1869146,active,2020-10-27T12:00:00Z,138011.33,EUR,84795401C6
ocds-hu01ve-7917923,ocds-hu01ve-7917923-01,1859421,active,2020-11-12T12:00:00Z,68208.36,EUR,8481739870
ocds-hu01ve-7901942,ocds-hu01ve-7901942-01,1937726,active,2020-11-06T12:00:00Z,40800,EUR,84629810DB
ocds-hu01ve-7939854,ocds-hu01ve-7939854-01,1815599,active,2020-10-30T12:00:00Z,70000,EUR,8507592F00
ocds-hu01ve-7908602,ocds-hu01ve-7908602-01,1881160,active,2020-12-07T12:00:00Z,680406.5,EUR,8470731C58
ocds-hu01ve-7981285,ocds-hu01ve-7981285-01,1835297,active,2020-10-07T12:00:00Z,54000.01,EUR,8553694B94
ocds-hu01ve-7865208,ocds-hu01ve-7865208-01,1862805,active,2020-12-18T12:00:00Z,403559,EUR,8420811112
ocds-hu01ve-7899290,ocds-hu01ve-7899290-01,1821633,active,2020-11-10T12:00:00Z,161573.36,EUR,845960708B
ocds-hu01ve-7925620,ocds-hu01ve-7925620-01,2038882,active,2021-02-17T12:00:00Z,317326.1,EUR,8490800DCE
ocds-hu01ve-7922235,ocds-hu01ve-7922235-01,2088167,active,2020-10-26T12:00:00Z,87200,EUR,8486899A9A
ocds-hu01ve-7898940,ocds-hu01ve-7898940-01,1912002,active,2020-12-15T12:00:00Z,694170.02,EUR,8459292C95
ocds-hu01ve-7908991,ocds-hu01ve-7908991-01,1809793,active,2020-10-13T12:00:00Z,85000,EUR,8471079B86
ocds-hu01ve-7920633,ocds-hu01ve-7920633-01,1898627,active,2020-11-30T12:00:00Z,59319.43,EUR,84850737BE
ocds-hu01ve-7886444,ocds-hu01ve-7886444-01,1963021,active,2020-10-14T12:00:00Z,5100,EUR,844489322A
ocds-hu01ve-7886444,ocds-hu01ve-7886444-01,1958994,active,2020-10-14T12:00:00Z,5100,EUR,8444889ED9
ocds-hu01ve-7912701,ocds-hu01ve-7912701-01,1895166,active,2020-10-16T12:00:00Z,62040,EUR,847518256F
ocds-hu01ve-7906685,ocds-hu01ve-7906685-01,1816627,active,2020-10-29T12:00:00Z,122158.8,EUR,8468568364
ocds-hu01ve-7900531,ocds-hu01ve-7900531-01,1807510,active,2020-10-05T12:00:00Z,14099,EUR,8461358582
ocds-hu01ve-7905365,ocds-hu01ve-7905365-01,1912095,active,2020-10-23T12:00:00Z,72944.96,EUR,8466888901
