ocid,releases/0/id,releases/0/awards/0/id,releases/0/awards/0/status,releases/0/awards/0/date,releases/0/awards/0/value/amount,releases/0/awards/0/value/currency,releases/0/awards/0/relatedLots
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1824890,active,2020-10-01T12:00:00Z,50836.92,EUR,84456280B5
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825986,active,2020-10-01T12:00:00Z,82500,EUR,8446088C4C
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825800,active,2020-10-01T12:00:00Z,4128,EUR,8446034FBB
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825594,active,2020-10-01T12:00:00Z,10400,EUR,8445915D88
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825819,active,2020-10-01T12:00:00Z,5085,EUR,844604372B
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1824796,active,2020-10-01T12:00:00Z,81570.3,EUR,84455521FD
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1824928,active,2020-10-01T12:00:00Z,123060,EUR,84456567CE
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1824873,active,2020-10-01T12:00:00Z,870,EUR,84455987F1
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825926,active,2020-10-01T12:00:00Z,9729,EUR,8446071E44
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825951,active,2020-10-01T12:00:00Z,30600,EUR,844607840E
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825838,active,2020-10-01T12:00:00Z,38100,EUR,8446049C1D
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825668,active,2020-10-01T12:00:00Z,30837,EUR,8445934D36
ocds-hu01ve-7931845,ocds-hu01ve-7931845-01,1843857,active,2020-11-03T12:00:00Z,15844.17,EUR,8497859F13
ocds-hu01ve-7900929,ocds-hu01ve-7900929-01,1931833,active,2020-10-06T12:00:00Z,116000,EUR,8461805662
ocds-hu01ve-7894601,ocds-hu01ve-7894601-01,1960199,active,2020-12-28T12:00:00Z,4003234,EUR,8454275070
ocds-hu01ve-7912678,ocds-hu01ve-7912678-01,1836360,active,2020-11-30T12:00:00Z,19176,EUR,84751689E0
ocds-hu01ve-7917564,ocds-hu01ve-7917564-01,1946421,active,2020-11-30T12:00:00Z,135210,EUR,8481144D6C
ocds-hu01ve-7901760,ocds-hu01ve-7901760-01,1818724,active,2020-11-03T12:00:00Z,46481.03,EUR,84626786CE
ocds-hu01ve-7914101,ocds-hu01ve-7914101-01,1939226,active,2020-10-29T12:00:00Z,54519.94,EUR,8476778A7D
ocds-hu01ve-7920491,ocds-hu01ve-7920491-01,1903373,active,2020-12-21T12:00:00Z,87192.5,EUR,8484962C23
ocds-hu01ve-7892257,ocds-hu01ve-7892257-01,1820713,active,2020-11-11T12:00:00Z,65684,EUR,84517203FB
ocds-hu01ve-7906156,ocds-hu01ve-7906156-01,1901364,active,2020-11-12T12:00:00Z,68458.82,EUR,8467860B1F
ocds-hu01ve-7924384,ocds-hu01ve-7924384-01,1808923,active,2020-12-31T12:00:00Z,202385.76,EUR,8489364CC8
ocds-hu01ve-7897956,ocds-hu01ve-7897956-01,2054475,active,2020-10-06T12:00:00Z,47976,EUR,8458128C05
ocds-hu01ve-7914958,ocds-hu01ve-7914958-01,1857423,active,2020-11-13T12:00:00Z,38756.89,EUR,8477927EAB
ocds-hu01ve-7926736,ocds-hu01ve-7926736-01,1970549,active,2020-11-07T12:00:00Z,68181,EUR,849208630F
ocds-hu01ve-7887807,ocds-hu01ve-7887807-01,1871327,active,2021-01-18T12:00:00Z,261126,EUR,8446444217
ocds-hu01ve-7897865,ocds-hu01ve-7897865-01,1811740,active,2020-10-30T12:00:00Z,66500,EUR,8457999194
ocds-hu01ve-7913568,ocds-hu01ve-7913568-01,1886296,active,2020-12-17T12:00:00Z,173667.14,EUR,84761525E7
ocds-hu01ve-7894948,ocds-hu01ve-7894948-01,1792511,active,2020-10-01T12:00:00Z,62032.5,EUR,8454681F76
ocds-hu01ve-7865114,ocds-hu01ve-7865114-01,1955102,active,2020-10-14T12:00:00Z,114146,EUR,842066261B
ocds-hu01ve-7909477,ocds-hu01ve-7909477-01,1937325,active,2020-10-14T12:00:00Z,162000,EUR,84715976FF
ocds-hu01ve-7901589,ocds-hu01ve-7901589-01,1839495,active,2020-10-08T12:00:00Z,9083.36,EUR,84625182C6
ocds-hu01ve-7919115,ocds-hu01ve-7919115-01,2060108,active,2021-05-28T12:00:00Z,622500,EUR,8482989FF6
ocds-hu01ve-7916542,ocds-hu01ve-7916542-01,1888036,active,2020-10-27T12:00:00Z,43700,EUR,8479954769
ocds-hu01ve-8060726,ocds-hu01ve-8060726-01,1881145,active,2020-10-01T12:00:00Z,49842,EUR,8643210A85
ocds-hu01ve-7903826,ocds-hu01ve-7903826-01,1816070,active,2020-10-28T12:00:00Z,43271.2,EUR,8465168D9C
ocds-hu01ve-7920400,ocds-hu01ve-7920400-01,1958418,active,2020-12-21T12:00:00Z,90000,EUR,8484712DD4
ocds-hu01ve-7891800,ocds-hu01ve-7891800-01,1811304,active,2020-10-09T12:00:00Z,180952.38,EUR,8454038CD8
ocds-hu01ve-7891800,ocds-hu01ve-7891800-01,1811301,active,2020-10-09T12:00:00Z,152380.95,EUR,8454077D07
ocds-hu01ve-7861001,ocds-hu01ve-7861001-01,1892590,active,2020-12-23T12:00:00Z,86400,EUR,8416192D56
ocds-hu01ve-7861001,ocds-hu01ve-7861001-01,1892561,active,2020-12-23T12:00:00Z,53760,EUR,8416180372
ocds-hu01ve-7917131,ocds-hu01ve-7917131-01,1943442,active,2021-05-11T12:00:00Z,20000000,EUR,8481105D3D
ocds-hu01ve-7917131,ocds-hu01ve-7917131-01,2078394,active,2021-05-17T12:00:00Z,15000000,EUR,8483960146
ocds-hu01ve-7917131,ocds-hu01ve-7917131-01,1959280,active,2021-05-11T12:00:00Z,10000000,EUR,8483996EF7
ocds-hu01ve-7917131,ocds-hu01ve-7917131-01,1993135,active,2021-07-12T12:00:00Z,45000000,EUR,8483972B2A
ocds-hu01ve-7917131,ocds-hu01ve-7917131-01,1966499,active,2021-05-11T12:00:00Z,15000000,EUR,84812168D8
ocds-hu01ve-7917131,ocds-hu01ve-7917131-01,1992313,active,2021-07-06T12:00:00Z,5000000,EUR,848398236D
ocds-hu01ve-7917131,ocds-hu01ve-7917131-01,1938693,active,2021-05-11T12:00:00Z,15000000,EUR,8483937E47
