ocid,releases/0/id,releases/0/contracts/0/id,releases/0/contracts/0/awardID,releases/0/contracts/0/period/startDate,releases/0/contracts/0/period/endDate,releases/0/contracts/0/dateSigned
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1824796,1824796,2020-10-01T12:00:00Z,2023-09-30T12:00:00Z,2020-10-01T12:00:00Z
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825594,1825594,,2023-09-30T12:00:00Z,2020-10-01T12:00:00Z
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825800,1825800,,2023-09-30T12:00:00Z,2020-10-01T12:00:00Z
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1824890,1824890,,2023-09-30T12:00:00Z,2020-10-01T12:00:00Z
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1824966,1824966,,2023-09-30T12:00:00Z,2020-10-01T12:00:00Z
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825477,1825477,,2023-10-30T12:00:00Z,2020-10-01T12:00:00Z
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825986,1825986,,2023-09-30T12:00:00Z,2020-10-01T12:00:00Z
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825838,1825838,,2023-09-30T12:00:00Z,2020-10-01T12:00:00Z
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825668,1825668,,2023-09-30T12:00:00Z,2020-10-01T12:00:00Z
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825926,1825926,,2023-09-30T12:00:00Z,2020-10-01T12:00:00Z
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825951,1825951,,2023-09-30T12:00:00Z,2020-10-01T12:00:00Z
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825861,1825861,,2023-09-30T12:00:00Z,2020-10-01T12:00:00Z
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825016,1825016,,2023-09-30T12:00:00Z,2020-10-01T12:00:00Z
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1826020,1826020,,2023-09-30T12:00:00Z,2020-10-01T12:00:00Z
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1824852,1824852,2020-10-01T12:00:00Z,2023-09-30T12:00:00Z,2020-10-01T12:00:00Z
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1824928,1824928,,2023-09-30T12:00:00Z,2020-10-01T12:00:00Z
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1824873,1824873,,2023-09-30T12:00:00Z,2020-10-01T12:00:00Z
ocds-hu01ve-7900929,ocds-hu01ve-7900929-01,1931833,1931833,,2021-03-31T12:00:00Z,2020-12-24T12:00:00Z
ocds-hu01ve-7894601,ocds-hu01ve-7894601-01,1960199,1960199,,2024-01-24T12:00:00Z,
ocds-hu01ve-7912678,ocds-hu01ve-7912678-01,1836360,1836360,,2021-12-14T12:00:00Z,2020-12-15T12:00:00Z
ocds-hu01ve-7901760,ocds-hu01ve-7901760-01,1818724,1818724,,2022-02-28T12:00:00Z,
ocds-hu01ve-7914101,ocds-hu01ve-7914101-01,1939226,1939226,2020-11-04T12:00:00Z,2021-01-10T12:00:00Z,2020-11-02T12:00:00Z
ocds-hu01ve-7892257,ocds-hu01ve-7892257-01,1820713,1820713,2020-12-02T12:00:00Z,2020-12-31T12:00:00Z,2020-12-02T12:00:00Z
ocds-hu01ve-7906156,ocds-hu01ve-7906156-01,1901364,1901364,,2021-11-11T12:00:00Z,2020-11-12T12:00:00Z
ocds-hu01ve-7924384,ocds-hu01ve-7924384-01,1808923,1808923,,2021-10-26T12:00:00Z,2020-10-27T12:00:00Z
ocds-hu01ve-7897956,ocds-hu01ve-7897956-01,2054475,2054475,,2021-06-30T12:00:00Z,2020-10-06T12:00:00Z
ocds-hu01ve-7914958,ocds-hu01ve-7914958-01,1857423,1857423,,2021-03-01T12:00:00Z,
ocds-hu01ve-7926736,ocds-hu01ve-7926736-01,1970549,1970549,,2021-06-30T12:00:00Z,
ocds-hu01ve-7887807,ocds-hu01ve-7887807-01,1871327,1871327,,2021-06-30T12:00:00Z,2021-02-24T12:00:00Z
ocds-hu01ve-7897865,ocds-hu01ve-7897865-01,1811740,1811740,,2021-12-31T12:00:00Z,2020-10-30T12:00:00Z
ocds-hu01ve-7913568,ocds-hu01ve-7913568-01,1886296,1886296,,2022-02-22T12:00:00Z,2021-02-22T12:00:00Z
ocds-hu01ve-7909477,ocds-hu01ve-7909477-01,1937325,1937325,,2022-10-14T12:00:00Z,2020-10-14T12:00:00Z
ocds-hu01ve-7901589,ocds-hu01ve-7901589-01,1839495,1839495,,2020-12-08T12:00:00Z,2020-10-08T12:00:00Z
ocds-hu01ve-7919115,ocds-hu01ve-7919115-01,2060108,2060108,,2026-06-30T12:00:00Z,2021-10-07T12:00:00Z
ocds-hu01ve-7916542,ocds-hu01ve-7916542-01,1888036,1888036,,2021-02-03T12:00:00Z,2020-11-24T12:00:00Z
